RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
249722,300061471,SRB,ANTIC Radomir (SRB),N,23,?URI?I?,GK,
249722,300061454,MEX,Javier AGUIRRE (MEX),N,21,A BAUTISTA,,
43950100,43950005,ENG,Sven-G�ran ERIKSSON (SWE),S,3,A COLE,,
249722,300061454,MEX,Javier AGUIRRE (MEX),N,18,A GUARDADO,,I55'
249722,300061454,MEX,Javier AGUIRRE (MEX),N,22,A MEDINA,,
1014,8729,KSA,PARREIRA Carlos Alberto (BRA),N,17,A. AL-DOSSARY,,
1014,8729,KSA,PARREIRA Carlos Alberto (BRA),N,19,A. AL-GANOUBI,,
255931,300186475,POR,PAULO BENTO (POR),N,19,A. ALMEIDA,,I65'
249722,300061471,GHA,RAJEVAC Milovan (SRB),S,13,A. AYEW,,
43950100,43950014,POL,ENGEL Jerzy (POL),N,17,A. BAK,,
255931,300186471,COL,PEKERMAN Jose (ARG),N,16,A. BALANTA,,
249722,300061490,PRK,KIM Jong Hun (PRK),N,7,A. CHOL HYOK,,
1014,4000,BRA,ZAGALLO Mario (BRA),N,15,A. CRUZ,,
1014,8735,IRN,TALEBI Jalal (IRN),S,10,A. DAEI,,
97410100,97410002,ECU,SUAREZ Luis (COL),S,11,A. DELGADO,,G80' O83'
249722,300061453,FRA,DOMENECH Raymond (FRA),N,18,A. DIARRA,,
255931,300186477,ARG,SABELLA Alejandro (ARG),N,13,A. FERNANDEZ,,
249722,300061453,URU,TABAREZ Oscar (URU),N,20,A. FERNANDEZ,,
43950100,43950009,MEX,Javier AGUIRRE (MEX),N,8,A. GARCIA ASPE,,
255931,300186489,URU,TABAREZ Oscar (URU),N,20,A. GONZALEZ,,I60'
97410100,97410007,MEX,LA VOLPE Ricardo (ARG),N,18,A. GUARDADO,,
249722,300061471,GHA,RAJEVAC Milovan (SRB),S,3,A. GYAN,,P85' O90'
255931,300186505,IRN,Carlos QUEIR�S (POR),S,12,A. HAGHIGHI,GK,
255931,300186489,URU,TABAREZ Oscar (URU),N,8,A. HERNANDEZ,,I76'
97410100,97410015,ESP,ARAGONES Luis (ESP),N,13,A. INIESTA,,
97410100,97410004,TRI,BEENHAKKER Leo (NED),S,3,A. JOHN,,Y15' Y46' RSY46'
43950100,43950002,IRL,MC CARTHY Mick (IRL),N,23,A. KELLY,,
1014,8735,IRN,TALEBI Jalal (IRN),N,13,A. LATIFI,,
97410100,97410015,ESP,ARAGONES Luis (ESP),N,12,A. LOPEZ,,
43950100,43950001,SEN,METSU Bruno (FRA),N,23,A. M. NDIAYE,,
337,3058,KSA,SOLARI Jorge (ARG),S,5,A. MADANI,,
255931,300186471,COL,PEKERMAN Jose (ARG),N,15,A. MEJIA,,I69'
43950100,43950006,RSA,SONO Jomo (RSA),S,4,A. MOKOENA,,Y3'
97410100,97410007,MEX,LA VOLPE Ricardo (ARG),N,7,A. NAELSON,,IH46' G79'
255931,300186489,URU,TABAREZ Oscar (URU),N,6,A. PEREIRA,,
255931,300186492,MEX,HERRERA Miguel (MEX),N,11,A. PULIDO,,
1014,8735,IRN,TALEBI Jalal (IRN),N,1,A. R. ABEDZADEH,,
1014,8735,IRN,TALEBI Jalal (IRN),N,7,A. R. MANSOURIAN,,I68'
43950100,43950009,MEX,Javier AGUIRRE (MEX),N,22,A. RODRIGUEZ,,
1014,8728,PAR,CARPEGIANI (BRA),N,8,A. ROJAS,,
249722,300061477,CMR,Paul LE GUEN (FRA),N,6,A. SONG,,
97410100,97410004,SWE,Lars LAGERB�CK (SWE),S,8,A. SVENSSON,,O62'
255931,300186492,MEX,HERRERA Miguel (MEX),N,12,A. TALAVERA,GK,
97410100,97410014,TOG,PFISTER Otto (GER),N,23,A. TOURE,,I55'
97410100,97410002,ECU,SUAREZ Luis (COL),S,16,A. VALENCIA,,
249722,300061490,PRK,KIM Jong Hun (PRK),S,17,A. YONG HAK,,
337,3058,KSA,SOLARI Jorge (ARG),N,4,A. ZUBROMAWI,,
1014,8735,IRN,TALEBI Jalal (IRN),N,15,A.A. OSTAD ASADI,,
97410100,97410007,IRN,IVANKOVIC Branko (CRO),N,15,A.BORHANI,,I81'
97410100,97410007,IRN,IVANKOVIC Branko (CRO),S,10,A.DAEI,C,
249722,300111112,ESP,DEL BOSQUE Vicente (ESP),S,6,A.INIESTA,,O77'
97410100,97410007,IRN,IVANKOVIC Branko (CRO),S,8,A.KARIMI,,O63'
43950100,43950003,URU,PUA Victor (URU),N,3,A.LEMBO,,
249722,300061453,URU,TABAREZ Oscar (URU),S,11,A.PEREIRA,,
43950100,43950003,URU,PUA Victor (URU),S,20,A.RECOBA,,O80'
97410100,97410007,IRN,IVANKOVIC Branko (CRO),N,19,A.SADEGHI,,
1014,8736,JAM,SIMOES Rene (BRA),N,13,Aaron LAWRENCE,,
238,1650,MEX,TRELLEZ Ignacio (MEX),S,8,Aaron PADILLA,,
97410100,97410014,TOG,PFISTER Otto (GER),S,3,ABALO,C,Y23' Y53' RSY53'
1014,8727,CMR,LE ROY Claude (FRA),N,13,ABANDA,,
255931,300186513,ITA,Cesare PRANDELLI (ITA),N,7,ABATE,,
43950100,43950011,ITA,TRAPATTONI Giovanni (ITA),N,12,ABBIATI,GK,
97410100,97410005,ARG,Jos� P�KERMAN (ARG),S,1,ABBONDANZIERI,GK,
250,1839,MAR,VIDINIC Blagoje (YUG),S,2,Abdallah LAMRANI,,
308,674,MAR,FARIA Jose (BRA),N,21,Abdel Aziz SOULAYMANI,,I87'
206,1146,FRA,BARREAU Gaston (FRA),N,0,Abdel Kader BEN BOUALI,,
204,1119,EGY,McREA James (SCO),S,0,Abdel Rahman FAWZI,,G35' G39'
204,1119,EGY,McREA James (SCO),S,0,Abdel SHARLI,,
211,1276,FRA,PIBAROT Pierre (FRA),N,15,Abdelaziz BEN-TIFOUR,,
308,674,MAR,FARIA Jose (BRA),N,22,Abdelfettah HOUDANI,,
308,674,MAR,FARIA Jose (BRA),N,13,Abdelfettah RHIATI,,
308,379,ALG,SAADANE Rabah (ALG),N,15,Abdelhamid SADMI,,
1014,8725,MAR,MICHEL Henri (FRA),S,2,Abdelilah SABER,,
1014,8725,MAR,MICHEL Henri (FRA),S,9,Abdeljalil HADDA,,G60' O86'
1014,8725,MAR,MICHEL Henri (FRA),N,1,Abdelkader EL BRAZI,,
250,1839,MAR,VIDINIC Blagoje (YUG),N,18,Abdelkader EL KHYATI,,I56'
293,741,ALG,MEKHLOUFI Rachid (ALG),N,17,Abdelkader HORR,,
1014,8725,MAR,MICHEL Henri (FRA),S,3,Abdelkarim EL HADRIOUI,,
308,674,MAR,FARIA Jose (BRA),S,9,Abdelkarim KRIMAU,,
308,674,MAR,FARIA Jose (BRA),N,20,Abdellah BIDAR,,
308,379,ALG,SAADANE Rabah (ALG),S,5,Abdellah MEDJADI,,
250,1839,MAR,VIDINIC Blagoje (YUG),N,19,Abdellah OURIAGHLI,GK,
293,741,ALG,MEKHLOUFI Rachid (ALG),N,20,Abdelmajid BOUREBBOU,,
337,3054,MAR,BLINDA Abdellah (MAR),N,19,Abdelmajid BOUYBOUD,,
308,674,MAR,FARIA Jose (BRA),S,6,Abdelmajid DOLMY,,
308,674,MAR,FARIA Jose (BRA),S,3,Abdelmajid LAMRISS,,
308,674,MAR,FARIA Jose (BRA),N,17,Abdelrazzak KHAIRI,,I88'
337,3054,MAR,BLINDA Abdellah (MAR),N,17,Abdelslam LAGHRISSI,,
1014,8725,MAR,MICHEL Henri (FRA),N,10,Abderrahim OUAKILI,,
211,1276,FRA,PIBAROT Pierre (FRA),N,13,Abderrhamane MAHJOUB,,
249722,300061465,ALG,SAADANE Rabah (ALG),N,22,ABDOUN,,
308,628,IRQ,EVARISTO (BRA),N,11,ABDUL RAHIM,,I67'
293,1012,KUW,PARREIRA Carlos Alberto (BRA),S,10,Abdulaziz AL ANBARI,,
293,1012,KUW,PARREIRA Carlos Alberto (BRA),S,8,Abdulaziz AL BALUSHI,,
322,119,UAE,PARREIRA Carlos Alberto (BRA),N,9,ABDULAZIZ MOHAMED,,
293,1012,KUW,PARREIRA Carlos Alberto (BRA),N,20,Abdulaziz MOHAMMED,,
43950100,43950010,TUR,GUNES Senol (TUR),N,19,ABDULLAH,,
337,3058,KSA,SOLARI Jorge (ARG),S,2,Abdullah AL DOSARI,,Y28'
293,1012,KUW,PARREIRA Carlos Alberto (BRA),S,14,Abdullah MAYUF,,
322,119,UAE,PARREIRA Carlos Alberto (BRA),N,1,ABDULLAH MUSA,GK,
322,119,UAE,PARREIRA Carlos Alberto (BRA),N,5,Abdullah SULTAN,,I74'
1014,8729,KSA,PARREIRA Carlos Alberto (BRA),S,4,Abdullah ZUBROMAWI,,
322,119,UAE,PARREIRA Carlos Alberto (BRA),N,21,Abdulrahman AL HADDAD,,
249722,300061477,JPN,OKADA Takeshi (JPN),S,2,ABE,,Y90'
278,2253,BRA,COUTINHO Claudio (BRA),N,14,ABEL,,
322,26,ARG,BILARDO Carlos (ARG),S,3,Abel BALBO,,
43950100,43950016,POR,OLIVEIRA Antonio (POR),N,3,ABEL XAVIER,,
337,3050,ESP,CLEMENTE Javier (ESP),S,5,ABELARDO,,
97410100,97410013,FRA,DOMENECH Raymond (FRA),S,3,ABIDAL,,Y64'
1014,8731,NGA,MILUTINOVIC Bora (YUG),N,22,Abiodun BARUWA,GK,
97410100,97410040,ANG,GONCALVES Luis (ANG),N,16,ABOU TARIKA,,I51' G60'
249722,300061477,CMR,Paul LE GUEN (FRA),N,23,ABOUBAKAR,,
322,75,BRA,LAZARONI Sebastiao (BRA),N,12,ACACIO,,
1014,8728,PAR,CARPEGIANI (BRA),N,12,ACEVAL,,
255931,300186494,ECU,RUEDA Reinaldo (COL),N,21,ACHILIER,,
206,1173,INH,VAN MASTENBROEK Johannes (NED),S,0,Achmad NAWIR,,
43950100,43950008,SVN,KATANEC Srecko (SVN),N,18,ACIMOVIC,,I63'
255931,300186489,CRC,PINTO Jorge Luis (COL),N,2,ACOSTA J.,,
255931,300186512,GHA,APPIAH James (GHA),N,6,ACQUAH,,
1014,8728,PAR,CARPEGIANI (BRA),S,10,ACUNA,,
1014,8726,CHI,ACOSTA Nelson (URU),S,8,ACU�A,,Y53' O82'
97410100,97410003,PAR,RUIZ LEITES Anibal (URU),S,10,ACU�A,,
201,1098,ROU,LUCHIDE Octav (ROU),S,0,Adalbert DESU,,G1'
204,1141,ROU,RADULESCU Constantin (ROU),N,0,Adalbert PULLOCK,,
201,1098,ROU,LUCHIDE Octav (ROU),S,0,Adalbert STEINER,,
1014,8728,BUL,BONEV Hristo (BUL),N,15,Adalbert ZAFIROV,,
293,1012,KUW,PARREIRA Carlos Alberto (BRA),N,21,Adam ADAM,,
262,1952,POL,GORSKI Kazimierz (POL),S,10,Adam MUSIAL,,
278,2351,POL,GMOCH Jacek (POL),S,5,Adam NAWALKA,,
208,1208,USA,JEFFREY Bill (SCO),S,0,Adam WOLANIN,,
231,1473,CHI,RIERA Fernando (CHI),N,12,Adan GODOY,,
208,1187,BRA,COSTA Flavio (BRA),N,0,ADAOZINHO,,
249722,300061471,GHA,RAJEVAC Milovan (SRB),N,19,ADDY,,I90'
97410100,97410014,TOG,PFISTER Otto (GER),S,4,ADEBAYOR,,
322,151,EGY,EL GOHARY Mahmoud (EGY),N,19,Adel ABDELRAHMAN,,I70'
1014,8740,TUN,KASPERCZAK Henryk (POL),S,11,Adel EL SELLIMI,,
231,1498,ESP,HERRERA Helenio (ARG),N,18,ADELARDO,,
249722,300061460,NGA,LAGERBACK Lars (SWE),N,22,ADELEYE,,
231,1479,COL,PEDERNERA Adolfo (ARG),N,2,Adelmo VIVAS,,
208,1187,BRA,COSTA Flavio (BRA),S,0,ADEMIR,,G30' G79'
262,1986,BRA,ZAGALLO Mario (BRA),N,18,ADEMIR DA GUIA,,
337,3061,NGA,WESTERHOF Clemens (NED),N,21,ADEPOJU,,I69'
249722,300061471,GHA,RAJEVAC Milovan (SRB),N,18,ADIYIAH,,
97410100,97410009,GHA,DUJKOVIC Ratomir (SRB),N,1,ADJEI,GK,
322,119,UAE,PARREIRA Carlos Alberto (BRA),S,10,ADNAN AL TALYANI,,
250,1770,BRA,ZAGALLO Mario (BRA),N,12,ADO,,
220,1421,TCH,KOLSKY Karel (TCH),N,18,Adolf SCHERER,,
206,1165,SUI,RAPPAN Karl (AUT),N,0,Adolf STELZER,,
308,628,PAR,RE Cayetano (PAR),S,10,Adolfino CANETE,,
262,2003,CHI,ALAMOS Luis (CHI),N,22,Adolfo NEF,,
322,180,URU,TABAREZ Oscar (URU),N,22,Adolfo ZEOLI,,
201,1085,ARG,OLAZAR Francisco (ARG),N,0,Adolfo ZUMELZU,,
208,1230,SUI,ANDREOLI Franco (SUI),N,0,Adolphe HUG,,
255931,300186512,GHA,APPIAH James (GHA),N,14,ADOMAH,,I78'
278,2388,NED,HAPPEL Ernst (AUT),N,4,Adri VAN KRAAY,,
322,151,NED,BEENHAKKER Leo (NED),S,5,Adri VAN TIGGELEN,,
204,1133,NED,GLENDENNING Bob (ENG),N,0,Adriaan VAN MALE,,
262,1955,AUS,RASIC Rale (YUG),S,12,Adrian ALSTON,,
337,3055,MEX,BARON Miguel Mejia (MEX),N,22,Adrian CHAVEZ,,
293,1051,NZL,ADSHEAD John (NZL),S,14,Adrian ELRICK,,
1014,8739,ROU,IORDANESCU Anghel (ROU),S,11,Adrian ILIE,,G45'
337,3051,SUI,Roy HODGSON (ENG),N,9,Adrian KNUP,,
322,342,ROU,JENEI Emerich (ROU),N,13,Adrian POPESCU,,
97410100,97410011,BRA,PARREIRA Carlos Alberto (BRA),S,7,ADRIANO,,
249722,300061478,NED,Bert VAN MARWIJK (NED),N,20,AFELLAY,,I77'
43950100,43950007,NGA,ONIGBINDE Adegboye (NGA),N,13,AFOLABI,,
206,1150,BRA,PIMENTA Ademar (BRA),S,0,AFONSINHO,,
97410100,97410014,TOG,PFISTER Otto (GER),S,16,AGASSA,GK,
255931,300186505,NGA,KESHI Stephen (NGA),N,21,AGBIM,GK,
97410100,97410014,TOG,PFISTER Otto (GER),N,8,AGBOH,,
249722,300061478,DEN,OLSEN Morten (DEN),S,4,AGGER,,W46'
43950100,43950007,NGA,ONIGBINDE Adegboye (NGA),S,17,AGHAHOWA,,
220,1415,SWE,RAYNOR George (ENG),S,9,Agne SIMONSSON,,G17' G64'
43950100,43950016,USA,ARENA Bruce (USA),S,12,AGOOS,,W71'
278,2433,TUN,CHETALI Abdelmajid (TUN),S,8,Agrebi BEN REHAIEM,,
255931,300186477,ARG,SABELLA Alejandro (ARG),S,20,AGUERO,,O87'
255931,300186471,COL,PEKERMAN Jose (ARG),S,8,AGUILAR T.,,O69'
1014,8731,ESP,CLEMENTE Javier (ESP),N,15,AGUILERA,,
43950100,43950011,ECU,GOMEZ Hernan (COL),S,10,AGUINAGA,C,O46'
220,1386,PAR,GONZALEZ Aurelio (PAR),S,17,Agustin MIRANDA,,
249722,300061471,GHA,RAJEVAC Milovan (SRB),N,1,AGYEI,GK,
250,1881,ISR,SHEFFER Emmanuel (ISR),N,19,Aharon SHURUK,,
255931,300186505,IRN,Carlos QUEIR�S (POR),N,17,AHMAD,,
293,1012,KUW,PARREIRA Carlos Alberto (BRA),S,1,Ahmed AL TARABULSI,GK,
250,1839,MAR,VIDINIC Blagoje (YUG),N,17,Ahmed ALAOUI,,
337,3054,MAR,BLINDA Abdellah (MAR),N,13,Ahmed BAHJA,,I69'
322,151,EGY,EL GOHARY Mahmoud (EGY),S,20,Ahmed EL KASS,,
250,1839,MAR,VIDINIC Blagoje (YUG),N,9,Ahmed FARAS,,I72'
308,628,IRQ,EVARISTO (BRA),N,21,Ahmed JASSIM,,
337,3054,MAR,BLINDA Abdellah (MAR),N,14,Ahmed MASBAHI,,
308,628,IRQ,EVARISTO (BRA),S,8,Ahmed RADHI,,
322,151,EGY,EL GOHARY Mahmoud (EGY),S,13,Ahmed RAMZY,,Y55' O70'
322,151,EGY,EL GOHARY Mahmoud (EGY),S,1,Ahmed SHOBEIR,GK,
249722,300061471,GHA,RAJEVAC Milovan (SRB),N,16,AHORLU,GK,
43950100,43950007,ARG,BIELSA Marcelo (ARG),N,16,AIMAR,,I78'
97410100,97410008,ANG,GONCALVES Luis (ANG),N,2,AIROSA,,
249722,300061460,NGA,LAGERBACK Lars (SWE),N,23,AIYENUGBA,,
97410100,97410005,CIV,MICHEL Henri (FRA),S,2,AKALE,,O62'
429,1158,SWE,NAGY Joszef (HUN),N,0,Ake ANDERSSON,,
220,1415,SWE,RAYNOR George (ENG),N,5,Ake JOHANSSON,,
322,342,URS,LOBANOVSKYI Valeriy (UKR),N,13,Akhrik TSVEIBA,,
255931,300186499,RUS,CAPELLO Fabio (ITA),S,1,AKINFEEV,GK,
1014,8734,JPN,OKADA Takeshi (JPN),S,2,Akira NARAHASHI,,
43950100,43950013,JPN,TROUSSIER Philippe (FRA),N,2,AKITA,,
97410100,97410014,TOG,PFISTER Otto (GER),N,12,AKOTO,,
255931,300186507,CIV,LAMOUCHI Sabri (FRA),N,7,AKPA JD,,
43950100,43950007,NGA,ONIGBINDE Adegboye (NGA),N,18,AKWUEGBU,,
97410100,97410008,ANG,GONCALVES Luis (ANG),S,10,AKW�,C,O60'
204,1135,USA,GOULD David (USA),N,0,Al HARKER,,
43950100,43950004,KSA,AL JOHAR Nasser (KSA),S,20,AL HASAN A.H.,,O77'
308,628,IRQ,EVARISTO (BRA),S,22,AL ROUBAI GHANIM,,
1014,8729,KSA,PARREIRA Carlos Alberto (BRA),N,22,AL-ANTAIF,,
1014,8729,KSA,PARREIRA Carlos Alberto (BRA),S,1,AL-DAYEA,GK,
337,3058,KSA,SOLARI Jorge (ARG),S,1,AL-DEAYEA,GK,
1014,8729,KSA,PARREIRA Carlos Alberto (BRA),N,21,AL-SADIG,,
322,151,EGY,EL GOHARY Mahmoud (EGY),N,14,Alaa MAYHOUB,,
1014,8730,FRA,JACQUET Aime (FRA),N,14,Alain BOGHOSSIAN,,I73'
293,878,FRA,HIDALGO Michel (FRA),N,16,Alain COURIOL,,
293,833,CMR,VINCENT Jean (FRA),N,20,Alain EYOBO MAKONGO,,
337,3051,SUI,Roy HODGSON (ENG),S,5,Alain GEIGER,C,
293,878,FRA,HIDALGO Michel (FRA),S,12,Alain GIRESSE,,
337,3051,SUI,Roy HODGSON (ENG),S,7,Alain SUTTER,,
220,1372,ENG,WINTERBOTTOM Walter (ENG),N,21,Alan A COURT,,
238,1636,ENG,RAMSEY Alf (ENG),S,7,Alan BALL,,
293,1051,SCO,STEIN Jock (SCO),S,9,Alan BRAZIL,,O53'
293,1051,SCO,STEIN Jock (SCO),S,5,Alan HANSEN,,
220,1372,ENG,WINTERBOTTOM Walter (ENG),N,13,Alan HODGKINSON,,
337,3052,IRL,CHARLTON Jack (ENG),N,22,Alan KELLY JR.,,
337,3052,IRL,CHARLTON Jack (ENG),N,13,Alan KERNAGHAN,,
308,379,NIR,BINGHAM Billy (NIR),S,5,Alan McDONALD,,
322,127,SCO,ROXBURGH Andy (SCO),S,14,Alan McINALLY,,
322,161,IRL,CHARLTON Jack (ENG),N,21,Alan McLOUGHLIN,,I64'
250,1812,ENG,RAMSEY Alf (ENG),S,4,Alan MULLERY,,
231,1490,ENG,WINTERBOTTOM Walter (ENG),N,19,Alan PEACOCK,,
278,2451,SCO,MacLEOD Alistair (SCO),S,1,Alan ROUGH,GK,
1014,8740,ENG,HODDLE Glenn (ENG),S,9,Alan SHEARER,C,G42'
97410100,97410016,KSA,MARCOS PAQUETA (BRA),N,15,ALBAHRI,,
43950100,43950008,ESP,CAMACHO Jose Antonio (ESP),N,14,ALBELDA,,
337,3052,ITA,SACCHI Arrigo (ITA),S,17,Alberigo EVANI,,OH46'
231,1507,FRG,HERBERGER Sepp (FRG),S,10,Albert BRUELLS,,
204,1133,SUI,MUELLER Henry (SUI),N,0,Albert BUCHE,,
204,1133,SUI,MUELLER Henry (SUI),S,0,Albert GUINCHARD,,
204,1108,BEL,GOETINCK Hector (BEL),S,0,Albert HEREMANS,,
211,1240,ENG,WINTERBOTTOM Walter (ENG),N,16,Albert QUIXALL,,
308,468,FRA,MICHEL Henri (FRA),N,22,Albert RUST,,
231,1563,URS,KACHALIN Gavril (URS),N,8,Albert SHESTERNYOV,,
337,3052,ITA,SACCHI Arrigo (ITA),S,11,ALBERTINI,,
208,1185,BOL,PRETTO Mario (ITA),S,0,Alberto ACHA,,
231,1461,MEX,TRELLEZ Ignacio (MEX),N,21,Alberto BAEZA,,
262,2098,URU,PORTA Roberto (URU),N,16,Alberto CARDACCIO,,
201,1085,ARG,OLAZAR Francisco (ARG),N,0,Alberto CHIVIDINI,,
201,1098,PER,BRU Francisco (ESP),S,0,Alberto DENEGRI,,
231,1473,CHI,RIERA Fernando (CHI),S,10,Alberto FOUILLOUX,,
204,1102,ARG,PASCUCCI Felipe (ITA),S,0,Alberto GALATEO,,G48'
250,1780,PER,DIDI (BRA),S,11,Alberto GALLARDO,,G50'
1014,8732,MEX,LAPUENTE Manuel (MEX),S,8,Alberto GARCIA ASPE,C,Y27' O70'
250,1881,URU,HOHBERG Juan (URU),N,18,Alberto GOMEZ,,
231,1447,ARG,LORENZO Juan Carlos (ARG),N,22,Alberto GONZALEZ,,
